model,optimizer,learning_rate,batch_size,fold,accuracy,precision,recall,f1_score,confusion_matrix
dense,rmsprop,0.01,16,5,0.8691860465116279,0.8587570621468926,0.8837209302325582,0.8710601719197708,"[[147, 25], [20, 152]]"
dense,rmsprop,0.01,32,1,0.8662790697674418,0.8387096774193549,0.9069767441860463,0.8715083798882681,"[[142, 30], [16, 156]]"
dense,rmsprop,0.01,32,2,0.8604651162790697,0.8263157894736842,0.9127906976744186,0.8674033149171271,"[[139, 33], [15, 157]]"
dense,rmsprop,0.01,32,3,0.8662790697674418,0.8539325842696629,0.8837209302325582,0.8685714285714285,"[[146, 26], [20, 152]]"
dense,rmsprop,0.01,32,4,0.8517441860465116,0.827027027027027,0.8895348837209303,0.8571428571428571,"[[140, 32], [19, 153]]"
dense,rmsprop,0.01,32,5,0.8546511627906976,0.8426966292134831,0.872093023255814,0.8571428571428571,"[[144, 28], [22, 150]]"
dense,rmsprop,0.01,64,1,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
dense,rmsprop,0.01,64,2,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
dense,rmsprop,0.01,64,3,0.8575581395348837,0.8435754189944135,0.877906976744186,0.8603988603988604,"[[144, 28], [21, 151]]"
dense,rmsprop,0.01,64,4,0.872093023255814,0.8516483516483516,0.9011627906976744,0.8757062146892656,"[[145, 27], [17, 155]]"
dense,rmsprop,0.01,64,5,0.8604651162790697,0.8297872340425532,0.9069767441860463,0.8666666666666667,"[[140, 32], [16, 156]]"
dense,rmsprop,0.01,128,1,0.8430232558139535,0.8138297872340425,0.8895348837209303,0.85,"[[137, 35], [19, 153]]"
dense,rmsprop,0.01,128,2,0.872093023255814,0.8516483516483516,0.9011627906976744,0.8757062146892656,"[[145, 27], [17, 155]]"
dense,rmsprop,0.01,128,3,0.8517441860465116,0.8235294117647058,0.8953488372093024,0.8579387186629527,"[[139, 33], [18, 154]]"
dense,rmsprop,0.01,128,4,0.872093023255814,0.8595505617977528,0.8895348837209303,0.8742857142857143,"[[147, 25], [19, 153]]"
dense,rmsprop,0.01,128,5,0.8662790697674418,0.85,0.8895348837209303,0.8693181818181818,"[[145, 27], [19, 153]]"
dense,rmsprop,0.001,8,1,0.8604651162790697,0.848314606741573,0.877906976744186,0.8628571428571429,"[[145, 27], [21, 151]]"
dense,rmsprop,0.001,8,2,0.872093023255814,0.8516483516483516,0.9011627906976744,0.8757062146892656,"[[145, 27], [17, 155]]"
dense,rmsprop,0.001,8,3,0.8633720930232558,0.861271676300578,0.8662790697674418,0.863768115942029,"[[148, 24], [23, 149]]"
dense,rmsprop,0.001,8,4,0.877906976744186,0.8693181818181818,0.8895348837209303,0.8793103448275862,"[[149, 23], [19, 153]]"
dense,rmsprop,0.001,8,5,0.8633720930232558,0.8415300546448088,0.8953488372093024,0.8676056338028169,"[[143, 29], [18, 154]]"
dense,rmsprop,0.001,16,1,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
dense,rmsprop,0.001,16,2,0.8662790697674418,0.8539325842696629,0.8837209302325582,0.8685714285714285,"[[146, 26], [20, 152]]"
dense,rmsprop,0.001,16,3,0.8662790697674418,0.8461538461538461,0.8953488372093024,0.8700564971751412,"[[144, 28], [18, 154]]"
dense,rmsprop,0.001,16,4,0.872093023255814,0.8595505617977528,0.8895348837209303,0.8742857142857143,"[[147, 25], [19, 153]]"
dense,rmsprop,0.001,16,5,0.872093023255814,0.8555555555555555,0.8953488372093024,0.875,"[[146, 26], [18, 154]]"
dense,rmsprop,0.001,32,1,0.8633720930232558,0.8415300546448088,0.8953488372093024,0.8676056338028169,"[[143, 29], [18, 154]]"
dense,rmsprop,0.001,32,2,0.8604651162790697,0.8406593406593407,0.8895348837209303,0.864406779661017,"[[143, 29], [19, 153]]"
dense,rmsprop,0.001,32,3,0.8691860465116279,0.8587570621468926,0.8837209302325582,0.8710601719197708,"[[147, 25], [20, 152]]"
dense,rmsprop,0.001,32,4,0.872093023255814,0.8636363636363636,0.8837209302325582,0.8735632183908046,"[[148, 24], [20, 152]]"
dense,rmsprop,0.001,32,5,0.8691860465116279,0.8587570621468926,0.8837209302325582,0.8710601719197708,"[[147, 25], [20, 152]]"
dense,rmsprop,0.001,64,1,0.8633720930232558,0.8491620111731844,0.8837209302325582,0.8660968660968661,"[[145, 27], [20, 152]]"
dense,rmsprop,0.001,64,2,0.8546511627906976,0.824468085106383,0.9011627906976744,0.8611111111111112,"[[139, 33], [17, 155]]"
dense,rmsprop,0.001,64,3,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
dense,rmsprop,0.001,64,4,0.8662790697674418,0.8539325842696629,0.8837209302325582,0.8685714285714285,"[[146, 26], [20, 152]]"
dense,rmsprop,0.001,64,5,0.872093023255814,0.8516483516483516,0.9011627906976744,0.8757062146892656,"[[145, 27], [17, 155]]"
dense,rmsprop,0.001,128,1,0.8691860465116279,0.8547486033519553,0.8895348837209303,0.8717948717948718,"[[146, 26], [19, 153]]"
dense,rmsprop,0.001,128,2,0.877906976744186,0.8611111111111112,0.9011627906976744,0.8806818181818182,"[[147, 25], [17, 155]]"
dense,rmsprop,0.001,128,3,0.8691860465116279,0.850828729281768,0.8953488372093024,0.8725212464589235,"[[145, 27], [18, 154]]"
dense,rmsprop,0.001,128,4,0.872093023255814,0.8516483516483516,0.9011627906976744,0.8757062146892656,"[[145, 27], [17, 155]]"
dense,rmsprop,0.001,128,5,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
dense,rmsprop,0.0001,8,1,0.872093023255814,0.8555555555555555,0.8953488372093024,0.875,"[[146, 26], [18, 154]]"
dense,rmsprop,0.0001,8,2,0.875,0.8603351955307262,0.8953488372093024,0.8774928774928775,"[[147, 25], [18, 154]]"
dense,rmsprop,0.0001,8,3,0.8691860465116279,0.8587570621468926,0.8837209302325582,0.8710601719197708,"[[147, 25], [20, 152]]"
dense,rmsprop,0.0001,8,4,0.877906976744186,0.8651685393258427,0.8953488372093024,0.88,"[[148, 24], [18, 154]]"
dense,rmsprop,0.0001,8,5,0.8691860465116279,0.8547486033519553,0.8895348837209303,0.8717948717948718,"[[146, 26], [19, 153]]"
dense,rmsprop,0.0001,16,1,0.8691860465116279,0.850828729281768,0.8953488372093024,0.8725212464589235,"[[145, 27], [18, 154]]"
dense,rmsprop,0.0001,16,2,0.8662790697674418,0.85,0.8895348837209303,0.8693181818181818,"[[145, 27], [19, 153]]"
dense,rmsprop,0.0001,16,3,0.872093023255814,0.8636363636363636,0.8837209302325582,0.8735632183908046,"[[148, 24], [20, 152]]"
dense,rmsprop,0.0001,16,4,0.8662790697674418,0.8579545454545454,0.877906976744186,0.867816091954023,"[[147, 25], [21, 151]]"
dense,rmsprop,0.0001,16,5,0.875,0.8685714285714285,0.8837209302325582,0.8760806916426513,"[[149, 23], [20, 152]]"
dense,rmsprop,0.0001,32,1,0.8662790697674418,0.8579545454545454,0.877906976744186,0.867816091954023,"[[147, 25], [21, 151]]"
dense,rmsprop,0.0001,32,2,0.8575581395348837,0.8435754189944135,0.877906976744186,0.8603988603988604,"[[144, 28], [21, 151]]"
dense,rmsprop,0.0001,32,3,0.8633720930232558,0.8571428571428571,0.872093023255814,0.8645533141210374,"[[147, 25], [22, 150]]"
dense,rmsprop,0.0001,32,4,0.8691860465116279,0.8547486033519553,0.8895348837209303,0.8717948717948718,"[[146, 26], [19, 153]]"
dense,rmsprop,0.0001,32,5,0.8633720930232558,0.8453038674033149,0.8895348837209303,0.8668555240793201,"[[144, 28], [19, 153]]"
dense,rmsprop,0.0001,64,1,0.872093023255814,0.8595505617977528,0.8895348837209303,0.8742857142857143,"[[147, 25], [19, 153]]"
dense,rmsprop,0.0001,64,2,0.8691860465116279,0.8547486033519553,0.8895348837209303,0.8717948717948718,"[[146, 26], [19, 153]]"
dense,rmsprop,0.0001,64,3,0.8662790697674418,0.85,0.8895348837209303,0.8693181818181818,"[[145, 27], [19, 153]]"
dense,rmsprop,0.0001,64,4,0.8691860465116279,0.8547486033519553,0.8895348837209303,0.8717948717948718,"[[146, 26], [19, 153]]"
dense,rmsprop,0.0001,64,5,0.8691860465116279,0.850828729281768,0.8953488372093024,0.8725212464589235,"[[145, 27], [18, 154]]"
dense,rmsprop,0.0001,128,1,0.8633720930232558,0.8415300546448088,0.8953488372093024,0.8676056338028169,"[[143, 29], [18, 154]]"
dense,rmsprop,0.0001,128,2,0.8691860465116279,0.8547486033519553,0.8895348837209303,0.8717948717948718,"[[146, 26], [19, 153]]"
dense,rmsprop,0.0001,128,3,0.872093023255814,0.8595505617977528,0.8895348837209303,0.8742857142857143,"[[147, 25], [19, 153]]"
dense,rmsprop,0.0001,128,4,0.8662790697674418,0.8579545454545454,0.877906976744186,0.867816091954023,"[[147, 25], [21, 151]]"
dense,rmsprop,0.0001,128,5,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
dense,rmsprop,1e-05,8,1,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
dense,rmsprop,1e-05,8,2,0.8662790697674418,0.8387096774193549,0.9069767441860463,0.8715083798882681,"[[142, 30], [16, 156]]"
dense,rmsprop,1e-05,8,3,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
dense,rmsprop,1e-05,8,4,0.8575581395348837,0.8288770053475936,0.9011627906976744,0.8635097493036211,"[[140, 32], [17, 155]]"
dense,rmsprop,1e-05,8,5,0.8604651162790697,0.8333333333333334,0.9011627906976744,0.8659217877094972,"[[141, 31], [17, 155]]"
dense,rmsprop,1e-05,16,1,0.8662790697674418,0.8387096774193549,0.9069767441860463,0.8715083798882681,"[[142, 30], [16, 156]]"
dense,rmsprop,1e-05,16,2,0.8633720930232558,0.8342245989304813,0.9069767441860463,0.8690807799442897,"[[141, 31], [16, 156]]"
dense,rmsprop,1e-05,16,3,0.8604651162790697,0.8333333333333334,0.9011627906976744,0.8659217877094972,"[[141, 31], [17, 155]]"
dense,rmsprop,1e-05,16,4,0.8691860465116279,0.8432432432432433,0.9069767441860463,0.8739495798319328,"[[143, 29], [16, 156]]"
dense,rmsprop,1e-05,16,5,0.8633720930232558,0.8306878306878307,0.9127906976744186,0.8698060941828255,"[[140, 32], [15, 157]]"
dense,rmsprop,1e-05,32,1,0.8691860465116279,0.8469945355191257,0.9011627906976744,0.8732394366197183,"[[144, 28], [17, 155]]"
dense,rmsprop,1e-05,32,2,0.872093023255814,0.8478260869565217,0.9069767441860463,0.8764044943820225,"[[144, 28], [16, 156]]"
dense,rmsprop,1e-05,32,3,0.8691860465116279,0.8359788359788359,0.9186046511627908,0.8753462603878116,"[[141, 31], [14, 158]]"
dense,rmsprop,1e-05,32,4,0.8662790697674418,0.8351063829787234,0.9127906976744186,0.8722222222222222,"[[141, 31], [15, 157]]"
dense,rmsprop,1e-05,32,5,0.8662790697674418,0.8387096774193549,0.9069767441860463,0.8715083798882681,"[[142, 30], [16, 156]]"
dense,rmsprop,1e-05,64,1,0.8691860465116279,0.8359788359788359,0.9186046511627908,0.8753462603878116,"[[141, 31], [14, 158]]"
dense,rmsprop,1e-05,64,2,0.8488372093023255,0.803030303030303,0.9244186046511628,0.8594594594594595,"[[133, 39], [13, 159]]"
dense,rmsprop,1e-05,64,3,0.8575581395348837,0.8219895287958116,0.9127906976744186,0.8650137741046832,"[[138, 34], [15, 157]]"
dense,rmsprop,1e-05,64,4,0.872093023255814,0.8440860215053764,0.9127906976744186,0.8770949720670391,"[[143, 29], [15, 157]]"
dense,rmsprop,1e-05,64,5,0.8488372093023255,0.8157894736842105,0.9011627906976744,0.856353591160221,"[[137, 35], [17, 155]]"
dense,rmsprop,1e-05,128,1,0.811046511627907,0.7511737089201878,0.9302325581395348,0.8311688311688312,"[[119, 53], [12, 160]]"
dense,rmsprop,1e-05,128,2,0.7936046511627907,0.7512437810945274,0.877906976744186,0.8096514745308311,"[[122, 50], [21, 151]]"
dense,rmsprop,1e-05,128,3,0.813953488372093,0.7727272727272727,0.8895348837209303,0.827027027027027,"[[127, 45], [19, 153]]"
dense,rmsprop,1e-05,128,4,0.8081395348837209,0.7476635514018691,0.9302325581395348,0.8290155440414507,"[[118, 54], [12, 160]]"
dense,rmsprop,1e-05,128,5,0.8546511627906976,0.824468085106383,0.9011627906976744,0.8611111111111112,"[[139, 33], [17, 155]]"
cnn,adam,0.01,8,1,0.8546511627906976,0.8144329896907216,0.9186046511627908,0.8633879781420765,"[[136, 36], [14, 158]]"
cnn,adam,0.01,8,2,0.8401162790697675,0.8268156424581006,0.8604651162790697,0.8433048433048433,"[[141, 31], [24, 148]]"
cnn,adam,0.01,8,3,0.8604651162790697,0.8522727272727273,0.872093023255814,0.8620689655172413,"[[146, 26], [22, 150]]"
cnn,adam,0.01,8,4,0.875,0.8449197860962567,0.9186046511627908,0.8802228412256268,"[[143, 29], [14, 158]]"
cnn,adam,0.01,8,5,0.875,0.8307692307692308,0.9418604651162792,0.8828337874659401,"[[139, 33], [10, 162]]"
cnn,adam,0.01,16,1,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
cnn,adam,0.01,16,2,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
cnn,adam,0.01,16,3,0.8662790697674418,0.85,0.8895348837209303,0.8693181818181818,"[[145, 27], [19, 153]]"
cnn,adam,0.01,16,4,0.8546511627906976,0.8315217391304348,0.8895348837209303,0.8595505617977528,"[[141, 31], [19, 153]]"
cnn,adam,0.01,16,5,0.872093023255814,0.8636363636363636,0.8837209302325582,0.8735632183908046,"[[148, 24], [20, 152]]"
cnn,adam,0.01,32,1,0.8575581395348837,0.8324324324324325,0.8953488372093024,0.8627450980392157,"[[141, 31], [18, 154]]"
cnn,adam,0.01,32,2,0.8488372093023255,0.8225806451612904,0.8895348837209303,0.8547486033519553,"[[139, 33], [19, 153]]"
cnn,adam,0.01,32,3,0.8430232558139535,0.8172043010752689,0.8837209302325582,0.8491620111731844,"[[138, 34], [20, 152]]"
cnn,adam,0.01,32,4,0.8604651162790697,0.8406593406593407,0.8895348837209303,0.864406779661017,"[[143, 29], [19, 153]]"
cnn,adam,0.01,32,5,0.8662790697674418,0.8387096774193549,0.9069767441860463,0.8715083798882681,"[[142, 30], [16, 156]]"
cnn,adam,0.01,64,1,0.8691860465116279,0.850828729281768,0.8953488372093024,0.8725212464589235,"[[145, 27], [18, 154]]"
cnn,adam,0.01,64,2,0.872093023255814,0.8440860215053764,0.9127906976744186,0.8770949720670391,"[[143, 29], [15, 157]]"
cnn,adam,0.01,64,3,0.8633720930232558,0.8415300546448088,0.8953488372093024,0.8676056338028169,"[[143, 29], [18, 154]]"
cnn,adam,0.01,64,4,0.8837209302325582,0.8626373626373627,0.9127906976744186,0.8870056497175142,"[[147, 25], [15, 157]]"
cnn,adam,0.01,64,5,0.8575581395348837,0.8397790055248618,0.8837209302325582,0.8611898016997167,"[[143, 29], [20, 152]]"
cnn,adam,0.01,128,1,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
cnn,adam,0.01,128,2,0.8604651162790697,0.8333333333333334,0.9011627906976744,0.8659217877094972,"[[141, 31], [17, 155]]"
cnn,adam,0.01,128,3,0.8662790697674418,0.8539325842696629,0.8837209302325582,0.8685714285714285,"[[146, 26], [20, 152]]"
cnn,adam,0.01,128,4,0.875,0.8449197860962567,0.9186046511627908,0.8802228412256268,"[[143, 29], [14, 158]]"
cnn,adam,0.01,128,5,0.8633720930232558,0.8453038674033149,0.8895348837209303,0.8668555240793201,"[[144, 28], [19, 153]]"
cnn,adam,0.001,8,1,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
cnn,adam,0.001,8,2,0.8691860465116279,0.8324607329842932,0.9244186046511628,0.8760330578512396,"[[140, 32], [13, 159]]"
cnn,adam,0.001,8,3,0.8546511627906976,0.8315217391304348,0.8895348837209303,0.8595505617977528,"[[141, 31], [19, 153]]"
cnn,adam,0.001,8,4,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
cnn,adam,0.001,8,5,0.872093023255814,0.8440860215053764,0.9127906976744186,0.8770949720670391,"[[143, 29], [15, 157]]"
cnn,adam,0.001,16,1,0.8575581395348837,0.8288770053475936,0.9011627906976744,0.8635097493036211,"[[140, 32], [17, 155]]"
cnn,adam,0.001,16,2,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
cnn,adam,0.001,16,3,0.8604651162790697,0.8406593406593407,0.8895348837209303,0.864406779661017,"[[143, 29], [19, 153]]"
cnn,adam,0.001,16,4,0.8691860465116279,0.839572192513369,0.9127906976744186,0.8746518105849582,"[[142, 30], [15, 157]]"
cnn,adam,0.001,16,5,0.8546511627906976,0.8210526315789474,0.9069767441860463,0.861878453038674,"[[138, 34], [16, 156]]"
cnn,adam,0.001,32,1,0.872093023255814,0.8555555555555555,0.8953488372093024,0.875,"[[146, 26], [18, 154]]"
cnn,adam,0.001,32,2,0.872093023255814,0.8516483516483516,0.9011627906976744,0.8757062146892656,"[[145, 27], [17, 155]]"
cnn,adam,0.001,32,3,0.8517441860465116,0.8306010928961749,0.8837209302325582,0.856338028169014,"[[141, 31], [20, 152]]"
cnn,adam,0.001,32,4,0.8691860465116279,0.8432432432432433,0.9069767441860463,0.8739495798319328,"[[143, 29], [16, 156]]"
cnn,adam,0.001,32,5,0.8604651162790697,0.8263157894736842,0.9127906976744186,0.8674033149171271,"[[139, 33], [15, 157]]"
cnn,adam,0.001,64,1,0.8633720930232558,0.8453038674033149,0.8895348837209303,0.8668555240793201,"[[144, 28], [19, 153]]"
cnn,adam,0.001,64,2,0.8633720930232558,0.8415300546448088,0.8953488372093024,0.8676056338028169,"[[143, 29], [18, 154]]"
cnn,adam,0.001,64,3,0.8546511627906976,0.8315217391304348,0.8895348837209303,0.8595505617977528,"[[141, 31], [19, 153]]"
cnn,adam,0.001,64,4,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
cnn,adam,0.001,64,5,0.8633720930232558,0.8415300546448088,0.8953488372093024,0.8676056338028169,"[[143, 29], [18, 154]]"
cnn,adam,0.001,128,1,0.8604651162790697,0.8333333333333334,0.9011627906976744,0.8659217877094972,"[[141, 31], [17, 155]]"
cnn,adam,0.001,128,2,0.8633720930232558,0.8342245989304813,0.9069767441860463,0.8690807799442897,"[[141, 31], [16, 156]]"
cnn,adam,0.001,128,3,0.8575581395348837,0.8324324324324325,0.8953488372093024,0.8627450980392157,"[[141, 31], [18, 154]]"
cnn,adam,0.001,128,4,0.875,0.8524590163934426,0.9069767441860463,0.8788732394366198,"[[145, 27], [16, 156]]"
cnn,adam,0.001,128,5,0.8546511627906976,0.8210526315789474,0.9069767441860463,0.861878453038674,"[[138, 34], [16, 156]]"
cnn,adam,0.0001,8,1,0.8691860465116279,0.850828729281768,0.8953488372093024,0.8725212464589235,"[[145, 27], [18, 154]]"
cnn,adam,0.0001,8,2,0.8604651162790697,0.8406593406593407,0.8895348837209303,0.864406779661017,"[[143, 29], [19, 153]]"
cnn,adam,0.0001,8,3,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
cnn,adam,0.0001,8,4,0.8691860465116279,0.8469945355191257,0.9011627906976744,0.8732394366197183,"[[144, 28], [17, 155]]"
cnn,adam,0.0001,8,5,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
cnn,adam,0.0001,16,1,0.8575581395348837,0.8324324324324325,0.8953488372093024,0.8627450980392157,"[[141, 31], [18, 154]]"
cnn,adam,0.0001,16,2,0.8633720930232558,0.8306878306878307,0.9127906976744186,0.8698060941828255,"[[140, 32], [15, 157]]"
cnn,adam,0.0001,16,3,0.875,0.8603351955307262,0.8953488372093024,0.8774928774928775,"[[147, 25], [18, 154]]"
cnn,adam,0.0001,16,4,0.8662790697674418,0.8539325842696629,0.8837209302325582,0.8685714285714285,"[[146, 26], [20, 152]]"
cnn,adam,0.0001,16,5,0.8633720930232558,0.8306878306878307,0.9127906976744186,0.8698060941828255,"[[140, 32], [15, 157]]"
cnn,adam,0.0001,32,1,0.8691860465116279,0.8469945355191257,0.9011627906976744,0.8732394366197183,"[[144, 28], [17, 155]]"
cnn,adam,0.0001,32,2,0.8662790697674418,0.85,0.8895348837209303,0.8693181818181818,"[[145, 27], [19, 153]]"
cnn,adam,0.0001,32,3,0.872093023255814,0.8516483516483516,0.9011627906976744,0.8757062146892656,"[[145, 27], [17, 155]]"
cnn,adam,0.0001,32,4,0.875,0.856353591160221,0.9011627906976744,0.8781869688385269,"[[146, 26], [17, 155]]"
cnn,adam,0.0001,32,5,0.8633720930232558,0.8453038674033149,0.8895348837209303,0.8668555240793201,"[[144, 28], [19, 153]]"
cnn,adam,0.0001,64,1,0.8662790697674418,0.8461538461538461,0.8953488372093024,0.8700564971751412,"[[144, 28], [18, 154]]"
cnn,adam,0.0001,64,2,0.8633720930232558,0.8453038674033149,0.8895348837209303,0.8668555240793201,"[[144, 28], [19, 153]]"
cnn,adam,0.0001,64,3,0.872093023255814,0.8555555555555555,0.8953488372093024,0.875,"[[146, 26], [18, 154]]"
cnn,adam,0.0001,64,4,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
cnn,adam,0.0001,64,5,0.8633720930232558,0.8415300546448088,0.8953488372093024,0.8676056338028169,"[[143, 29], [18, 154]]"
cnn,adam,0.0001,128,1,0.8633720930232558,0.8415300546448088,0.8953488372093024,0.8676056338028169,"[[143, 29], [18, 154]]"
